2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"1,692,025","818,782","873,243","1,478,782","715,320","763,462","213,243","103,462","109,781",,"2,050,672","996,184","1,054,488","1,742,274","849,302","892,972","308,398","146,882","161,516",,,,,,,,,,,,,,,
0-4,"278,158","138,493","139,665","250,684","124,718","125,966","27,474","13,775","13,699",,"329,848","164,717","165,131","292,518","145,952","146,566","37,330","18,765","18,565",,,,,,,,,,,,,,,
5-9,"255,413","128,494","126,919","228,374","115,212","113,162","27,039","13,282","13,757",,"337,028","169,994","167,034","300,045","151,628","148,417","36,983","18,366","18,617",,,,,,,,,,,,,,,
10-14,"217,055","110,397","106,658","190,926","97,787","93,139","26,129","12,610","13,519",,"272,967","137,759","135,208","236,078","120,173","115,905","36,889","17,586","19,303",,,,,,,,,,,,,,,
15-19,"174,116","87,499","86,617","147,471","75,402","72,069","26,645","12,097","14,548",,"193,320","99,047","94,273","154,266","81,284","72,982","39,054","17,763","21,291",,,,,,,,,,,,,,,
20-24,"146,062","64,058","82,004","122,325","53,408","68,917","23,737","10,650","13,087",,"160,445","73,441","87,004","125,825","57,725","68,100","34,620","15,716","18,904",,,,,,,,,,,,,,,
25-29,"125,510","56,526","68,984","105,789","47,181","58,608","19,721","9,345","10,376",,"139,372","62,074","77,298","111,723","49,462","62,261","27,649","12,612","15,037",,,,,,,,,,,,,,,
30-34,"108,328","50,386","57,942","92,203","42,475","49,728","16,125","7,911","8,214",,"125,434","57,161","68,273","102,576","46,516","56,060","22,858","10,645","12,213",,,,,,,,,,,,,,,
35-39,"80,943","38,717","42,226","69,158","32,852","36,306","11,785","5,865","5,920",,"103,262","48,123","55,139","85,475","39,624","45,851","17,787","8,499","9,288",,,,,,,,,,,,,,,
40-44,"68,344","32,963","35,381","58,564","27,751","30,813","9,780","5,212","4,568",,"88,352","41,861","46,491","74,442","35,109","39,333","13,910","6,752","7,158",,,,,,,,,,,,,,,
45-49,"50,281","23,838","26,443","43,448","20,183","23,265","6,833","3,655","3,178",,"65,648","31,506","34,142","55,027","26,310","28,717","10,621","5,196","5,425",,,,,,,,,,,,,,,
50-54,"44,032","20,456","23,576","38,591","17,502","21,089","5,441","2,954","2,487",,"60,393","29,241","31,152","51,266","24,689","26,577","9,127","4,552","4,575",,,,,,,,,,,,,,,
55-59,"32,573","15,254","17,319","29,173","13,386","15,787","3,400","1,868","1,532",,"37,058","18,316","18,742","31,296","15,306","15,990","5,762","3,010","2,752",,,,,,,,,,,,,,,
60-64,"33,542","15,131","18,411","30,435","13,592","16,843","3,107","1,539","1,568",,"37,405","17,589","19,816","32,240","14,971","17,269","5,165","2,618","2,547",,,,,,,,,,,,,,,
65-69,"24,334","11,129","13,205","22,359","10,174","12,185","1,975",955,"1,020",,"26,130","12,117","14,013","22,942","10,554","12,388","3,188","1,563","1,625",,,,,,,,,,,,,,,
70-74,"22,523","10,570","11,953","20,760","9,787","10,973","1,763",783,980,,"27,529","12,652","14,877","24,528","11,284","13,244","3,001","1,368","1,633",,,,,,,,,,,,,,,
75-79,"13,067","6,547","6,520","12,137","6,133","6,004",930,414,516,,"16,495","7,768","8,727","14,761","6,977","7,784","1,734",791,943,,,,,,,,,,,,,,,
80+,"17,744","8,324","9,420","16,385","7,777","8,608","1,359",547,812,,"29,986","12,818","17,168","27,266","11,738","15,528","2,720","1,080","1,640",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.1: Kondoa District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.1: Kondoa District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
